name,infrastructure_type,latitude,longitude
ACS Medical College And Hospital,hospital,13.0575206,80.127824
Shri Sathya Sai Medical College & Research Institute,hospital,12.7415557,80.1328466
Police Outpost,police,13.2156173,80.1694388
,hospital,8.9144298,77.3878516
,hospital,13.1340563,80.1037102
,hospital,13.1333249,80.1033668
HVF,police,13.1291456,80.1073794
Railway police station,police,8.9645513,77.3063031
"Krishnagiri Taluk office, fire station, Police station",police,12.5254539,78.2171823
,hospital,12.5227527,78.2191623
Ashwin Hospital,hospital,11.0241826,76.9731186
Police Stations,police,8.9724199,77.4192932
Surandai Fire Station,fire_station,8.9708303,77.4201945
Apollo Free Emergency Clinic,hospital,13.0677233,80.2050055
,police,13.0687012,80.2046669
Agarwal Hospital,hospital,13.0385656,80.2165845
Senthil Nursing Home,hospital,13.0849671,80.2004752
I K Hospital,hospital,13.0868667,80.1991661
Senthil Nursing Home,hospital,11.4395054,77.6957293
Komarapalayam Police station,police,11.4413141,77.6931115
Govt hospital,hospital,11.4432595,77.6941951
B.P. Jain Hospital (Sri Sankara Health Centre),hospital,12.9730642,80.1339663
Adirampattinam Police Station,police,10.3404104,79.3855317
Ortho clinic,hospital,12.9800456,80.2286587
Commissioner's office,police,11.755369,79.7688583
Goverment Hospital Kedar,hospital,12.0096083,79.4098555
J2 Police Station Kedar Jurisdiction,police,12.0091224,79.4029681
Malar Hospital,hospital,11.7727133,79.554121
J9 Police Station,police,12.947613,80.2416251
JK Hospital,hospital,13.0358564,80.1644897
Maruthi Medical Centre(Mmch Hospital),hospital,11.3384018,77.7130616
"Kovai Medical Centre And Hospital, Perundurai",hospital,11.3381361,77.7139593
Senthil Multispeciality Hospital,hospital,11.338983,77.7138529
Madipalkam police stations,police,12.9559858,80.1853072
,hospital,12.9559409,80.1855637
Goverment Hospital,hospital,11.156647,78.0213586
R.P Hospital,hospital,11.2417652,77.5037061
SP Hospital,hospital,12.9933638,80.2009134
Fourtts India Laboratories,hospital,12.9321684,80.2337388
Chettinadu Hospital & Research Institute,hospital,12.7960843,80.2155228
Rotary Central Margaret Sidney Hospital,hospital,12.9837958,80.1932105
,police,13.0229741,80.1999165
Sri Chakra Hospital,hospital,12.9786524,80.1850278
All Women Police Station,police,8.0824428,77.5495196
Police Station,police,8.0821735,77.5495411
Frontline Hospital and Research Institute,hospital,10.8340169,78.6947328
Police Srirangam,police,10.8571762,78.6896428
Taluk Police Station Kumbakonam,police,10.9555027,79.3655029
Traffic Police Station,police,12.6212684,80.1955516
"Police Station, Vettavalam",police,12.1098807,79.2447246
Sinduja Hospital,hospital,10.6039899,78.4168494
Police Booth,police,12.8975662,80.1823209
Rajan Hospital,hospital,12.8928496,80.1835976
Maruti Hospital,hospital,10.8100113,78.6804341
police station,police,10.7035066,78.5504006
Police Assistance Booth Mugalivakam,police,13.0207162,80.1663239
Dr. Janardhanan Multispeciality Dental Clinic,hospital,12.9842586,80.1886083
Rajan hospital,hospital,8.3362544,77.8658684
